transaction_id,timestamp,amount,currency,sender_account,receiver_account,sender_country,sender_municipality,receiver_country,receiver_municipality,transaction_type,notes
b078f054-3ce8-4d2a-9173-6e0c94a9bbff,2025-03-01 18:51:00,33570.37,SEK,SE8902NHEC01255630352421,SE8902HQID54921038055598,Sweden,Borlänge,Sweden,Landskrona,outgoing,
05488bf0-038a-4c00-9f6b-487b4ed5be7d,2025-03-21 09:05:00,46955.68,SEK,SE8902XCIR72675281902466,SE8902HXLB10149156679316,Sweden,Karlskoga,Sweden,Västerås,incoming,
881fa3e9-fc0e-459a-bd44-f23d44073198,2025-01-15 08:00:00,22257.9,SEK,SE8902TVFH53282057943154,SE8902UJGR36411837401781,Sweden,Gävle,Sweden,Stockholm,incoming,
bd464ee2-c261-4990-aa85-57c8684569d3,2025-01-01 22:36:00,44200.6,SEK,SE8902IDSK51225196610969,SE8902MRZJ54641003814611,Sweden,Örnsköldsvik,Sweden,Trollhättan,incoming,
0308a664-8b78-40bd-9281-8623b3d2584a,2025-03-08 00:00:00,10977.56,SEK,SE8902MPBO87772633723937,SE8902ZJVA11817265425330,,Uddevalla,Sweden,Skövde,outgoing,Rent transfer
da61c788-f682-414d-983c-e03d8eb671ea,2025-03-01 19:36:00,37233.58,SEK,SE8902RWKL37240797745939,SE8902LUGA16653984392162,Sweden,Södertälje,Sweden,Nyköping,incoming,
7be3f6a0-9e62-431e-80b6-21e36d175e7c,2025-01-30 07:36:00,16072.4,SEK,SE8902NNNR28386574821422,SE8902TZSS77431559302602,Sweden,Luleå,Sweden,Stockholm,incoming,
ad424922-9e3e-4a7c-b24b-d79d9399c31c,2025-04-11 15:55:00,11448.27,SEK,SE8902QILJ09667839424264,SE8902WDJE85359881297343,Sweden,Alingsås,Sweden,Karlstad,incoming,
0cc02c62-acaf-4655-9bb7-9283a6975c6d,2025-04-07 15:00:00,26130.78,SEK,SE8902KJYB05100798381483,SE8902XIIY68366812613028,Sweden,Kalmar,Sweden,Linköping,outgoing,
5aa50eb5-2f63-4125-b1be-975be4bed7e7,2025-04-03 19:09:00,42150.23,SEK,SE8902FCSV26977507325534,SE8902ZCTK81497780781136,Sweden,,Sweden,Falun,outgoing,Rent transfer
98ef0c8d-6cd1-4703-8043-a02a4597dda0,2025-04-22 02:50:00,31583.4,SEK,SE8902TMVQ62559128130402,SE8902EMIT82352727650511,Sweden,Kristianstad,Sweden,Kalmar,outgoing,
4dbea50f-f87c-4e5c-9112-88bd4ccef07f,2025-02-21 00:38:00,25655.37,SEK,SE8902OCQK11725418237602,SE8902FKHJ95461624405436,Sweden,Örebro,Sweden,Örebro,incoming,
32b8ef63-4f95-4891-a39a-8b67a2ca57d9,2025-05-02 06:25:00,30955.77,SEK,SE8902NMLM36956633220058,SE8902BWKM27720380863718,,Örnsköldsvik,Sweden,Gävle,incoming,Freelance project payment
3f09011b-7f08-4568-9adc-539113ac654e,2025-01-07 21:24:00,10326.08,SEK,SE8902NEKM17238713453074,SE8902VAPD72818464374400,Sweden,Mölndal,Sweden,Lund,incoming,
1887ef98-bb6d-40aa-9d91-5a5dfd7ccee8,2025-02-02 03:25:00,26546.15,SEK,SE8902BWKM27720380863718,SE8902VVUL13283946661384,Sweden,Uddevalla,Sweden,Ängelholm,incoming,
4bd285ad-bdb4-4d75-851a-063cacaea7c4,2025-02-14 20:48:00,42548.52,SEK,SE8902PQQA91803707968793,SE8902CYPH60544976843583,Sweden,Karlstad,Sweden,Alingsås,outgoing,
8562a836-a2b7-489f-a570-8cc2de45db60,2025-02-07 10:07:00,6439.51,SEK,SE8902EHTU59069815598850,SE8902SHGS62187533607069,Sweden,Norrköping,Sweden,Västerås,outgoing,
94d0a42d-29db-4d3b-92f9-43d2524b9d36,2025-04-14 00:16:00,20084.1,SEK,SE8902EDII68114485236045,SE8902ZRZI47417483372579,Sweden,Borås,Sweden,Södertälje,incoming,
e89d9e32-cb64-4d89-8821-6b461648d6cb,2025-01-22 14:33:00,15820.08,SEK,SE8902ZMIE92280783818806,SE8902RNTE90201112878494,Sweden,Eskilstuna,Sweden,Göteborg,outgoing,
47e68370-c7c6-48b7-8033-b83869e8f8d4,2025-04-14 23:18:00,15248.21,SEK,SE8902VANG86827956202560,SE8902CTOV92367944039255,Sweden,Kalmar,Sweden,Piteå,incoming,
54d1f94e-6570-4881-b8fe-eed2e67ba494,2025-03-06 06:49:00,46580.17,SEK,SE8902MSKS70942503348697,SE8902UIXL22740523863004,Sweden,Halmstad,Sweden,Helsingborg,outgoing,
2721e589-cae5-4e24-9bab-9d748047cc48,2025-02-23 13:51:00,8714.17,SEK,SE8902PJBO20718804604298,SE8902WQDQ90710651633977,Sweden,Lidköping,Sweden,Göteborg,outgoing,
8523e30f-e027-41e0-9cfc-f1108759bc2a,2025-02-17 09:04:00,31582.56,SEK,SE8902CFVV30512683866714,SE8902DJPX89629848207656,Sweden,,Sweden,Borlänge,incoming,Subscription fee
fa7fa80f-7595-48ad-9fba-e10617ccd46f,2025-05-11 11:08:00,49057.47,SEK,SE8902YQXU56366715188424,SE8902UZYG74951512780315,Sweden,Skövde,Sweden,Skövde,incoming,
ff537ac4-fa78-4d79-bda0-a207d2ff9ebe,2025-04-08 06:57:00,42458.54,SEK,SE8902LNMM65005427787530,SE8902MLNA56994057710583,Sweden,Kalmar,Sweden,Kalmar,outgoing,
0af039ef-fc14-481b-a528-98b1913056fc,2025-02-11 10:49:00,32588.84,SEK,SE8902ZRZI47417483372579,SE8902PBJH90393502972632,Sweden,Sundsvall,Sweden,,outgoing,Rent transfer
04ce7b53-4291-4e4c-b30c-fb43ab7cacf8,2025-03-07 02:09:00,9593.38,SEK,SE8902ERJA13877835143324,SE8902ARJI52424267786590,Sweden,Gävle,Sweden,,incoming,Payment for invoice #8258
5046c4ae-90c6-4572-b8ba-6e91818f85ad,2025-02-04 12:34:00,40031.65,SEK,SE8902RLXE45562764852432,SE8902WQDQ90710651633977,Sweden,Varberg,Sweden,Sandviken,outgoing,
